,,,Number_of_Routes,Number_of_Routes,Number_of_Routes,Best_Fitness,Best_Fitness,Best_Fitness
,,,mean,min,max,mean,min,max
Set_Type,Size_Category,Algorithm,,,,,,
non_symmetric,high,AntColony,3.0,2,4,1032.85,1018.27,1051.88
non_symmetric,high,Baseline,3.0,2,4,543.15,507.2,563.35
non_symmetric,high,GeneticAlgorithm,3.0,2,4,424.42,413.5,435.33
non_symmetric,high,SimulatedAnnealing,3.0,2,4,375.6,356.82,397.97
non_symmetric,medium,AntColony,3.0,2,4,718.61,690.59,735.92
non_symmetric,medium,Baseline,3.0,2,4,322.48,295.43,372.49
non_symmetric,medium,GeneticAlgorithm,3.0,2,4,241.2,221.98,252.41
non_symmetric,medium,SimulatedAnnealing,3.0,2,4,205.29,196.47,215.12
non_symmetric,small,AntColony,3.0,2,4,230.89,186.93,308.05
non_symmetric,small,Baseline,2.33,2,3,80.95,29.51,148.38
non_symmetric,small,GeneticAlgorithm,2.0,1,3,56.81,46.36,63.63
non_symmetric,small,SimulatedAnnealing,2.0,1,3,55.48,46.36,60.7
symmetric,high,AntColony,3.0,2,4,1036.85,891.62,1152.75
symmetric,high,Baseline,3.0,2,4,700.88,568.88,821.56
symmetric,high,GeneticAlgorithm,3.0,2,4,472.35,344.71,553.32
symmetric,high,SimulatedAnnealing,3.0,2,4,386.06,219.79,491.81
symmetric,medium,AntColony,3.0,2,4,673.24,565.43,886.83
symmetric,medium,Baseline,3.0,2,4,418.1,374.79,503.42
symmetric,medium,GeneticAlgorithm,3.0,2,4,330.9,292.53,376.59
symmetric,medium,SimulatedAnnealing,3.0,2,4,290.02,254.02,356.05
symmetric,small,AntColony,3.0,2,4,252.79,178.32,324.98
symmetric,small,Baseline,3.0,2,4,87.52,54.47,110.44
symmetric,small,GeneticAlgorithm,3.0,2,4,87.54,54.47,110.51
symmetric,small,SimulatedAnnealing,3.0,2,4,69.04,42.38,97.65
